Linje 1 har ugyldig email: customer_id,name,email,purchase_amount
Linje 3116 har ugyldig email: -501,Ashley Montgomery,,393.43
Linje 3117 har ugyldig email: ,,,
Linje 3118 har ugyldig email: 3117,John Figueroa,,448.03
Linje 3135 har ugyldig email: 3134,Kimberly Anderson,,914.91
Linje 3153 har ugyldig email: 3152,Paul Hunter,,90.59
Linje 3165 har ugyldig email: 3164,Taylor Jones,,685.28
Linje 3176 har ugyldig email: ,,,
Linje 3228 har ugyldig email: ,,,,
Linje 3255 har ugyldig email: 3254,Jack Martin,jack.martinhotmail.com,286.03
Linje 3265 har ugyldig email: ,,,,
Linje 3284 har ugyldig email: ,,,
Linje 3292 har ugyldig email: ,,,
Linje 3294 har ugyldig email: ,,,,
Linje 3301 har ugyldig email: ,,,
Linje 3317 har ugyldig email: ,,,,
Linje 3318 har ugyldig email: ,,,
Linje 3321 har ugyldig email: ,,,
Linje 3345 har ugyldig email: ,,,
Linje 3360 har ugyldig email: ,,,
Linje 3363 har ugyldig email: 3362,Richard Norris,richard.norrisgmail.com,259.34
Linje 3374 har ugyldig email: 3373,James Daniel,,402.48
Linje 3385 har ugyldig email: 3384,Jeffery Pollard,,197.33
Linje 3408 har ugyldig email: ,,,
Linje 3413 har ugyldig email: ,,,
Linje 3414 har ugyldig email: 3413,Sandra Williams,sandra.williamsgmail.com,976.06
Linje 3452 har ugyldig email: ,,,
Linje 3473 har ugyldig email: 3472,,Bethany Brooks,,815.69
Linje 3496 har ugyldig email: ,,,
Linje 3534 har ugyldig email: 3533,James Payne,,34.6
Linje 3568 har ugyldig email: ,,,
Linje 3585 har ugyldig email: 3584,Patrick Boyd,,549.8
Linje 3589 har ugyldig email: ,,,
Linje 3593 har ugyldig email: ,,,
Linje 3612 har ugyldig email: 3611,Lisa Hernandez,,482.92
Linje 3617 har ugyldig email: ,,,
Linje 3620 har ugyldig email: 3619,Daniel Cole,,409.87
Linje 3634 har ugyldig email: 3633,Pedro Leon,,916.24
Linje 3668 har ugyldig email: 3667,Adam Esparza,,460.91
Linje 3673 har ugyldig email: 3672,Brittney Reyes,,224.9
Linje 3679 har ugyldig email: 3678,Mary Wiley,,16.05
Linje 3680 har ugyldig email: ,,,
Linje 3691 har ugyldig email: 3690,Darrell Golden,,680.63
Linje 3700 har ugyldig email: 3699,Derek Blair,,650.35
Linje 3701 har ugyldig email: ,,,
Linje 3703 har ugyldig email: 3702,Zachary Combs,,821.84
Linje 3705 har ugyldig email: ,,,
Linje 3710 har ugyldig email: 3709,Katherine Gonzales,,381.85
Linje 3711 har ugyldig email: ,,,
Linje 3731 har ugyldig email: 3730,Lisa Hunt,,938.05
Linje 3732 har ugyldig email: nan,Catherine Trevino,,367.71
Linje 3759 har ugyldig email: ,,,
Linje 3760 har ugyldig email: ,,,
Linje 3763 har ugyldig email: ,,,
Linje 3765 har ugyldig email: 3764,Corey Benitez,,668.03
Linje 3772 har ugyldig email: ,,,
Linje 3783 har ugyldig email: 3782,Ms. Adrienne Mathis,,201.52
Linje 3790 har ugyldig email: 3789,Ross Hopkins,,268.8
Linje 3805 har ugyldig email: 3804,Martha Williams,,547.24
Linje 3829 har ugyldig email: 3828,Thomas Curry,,702.48
Linje 3831 har ugyldig email: ,,,
Linje 3860 har ugyldig email: ,,,
Linje 3876 har ugyldig email: 3875,Thomas Johnson,thomas.johnsonyahoo.com,672.63
Linje 3881 har ugyldig email: 3880,Stacy Jennings,stacy.jenningsyahoo.com,567.54
Linje 3884 har ugyldig email: ,,,,
Linje 3889 har ugyldig email: ,,,
Linje 3900 har ugyldig email: 3899,Stephanie Garcia,,191.77
Linje 3909 har ugyldig email: 3908,Diane Wade,,456.31
Linje 3911 har ugyldig email: ,,,
Linje 3922 har ugyldig email: 3921,Jessica Elliott,,659.91
Linje 3935 har ugyldig email: ,,,
Linje 3942 har ugyldig email: ,,,
Linje 3978 har ugyldig email: ,,,
Linje 3984 har ugyldig email: ,,,
Linje 3993 har ugyldig email: ,,,
Linje 3999 har ugyldig email: ,,,
Linje 4017 har ugyldig email: ,,,
Linje 4027 har ugyldig email: ,,,
Linje 4045 har ugyldig email: ,,,,
Linje 4052 har ugyldig email: 4051,Jamie Williams,,305.16
Linje 4058 har ugyldig email: 4057,Amy Brooks,,,127.18
Linje 4069 har ugyldig email: ,,,
Linje 4070 har ugyldig email: 4069,Justin Holland,justin.hollandgmail.com,698.54
Linje 4072 har ugyldig email: ,,,
Linje 4078 har ugyldig email: 2570,Aaron Ramirez,,485.24
Linje 4088 har ugyldig email: ,,,
Linje 4099 har ugyldig email: nan,Heather Estes,heather.estesyahoo.com,860.74
Linje 4110 har ugyldig email: ,,,
Linje 4115 har ugyldig email: 4114,Joe Wagner,,637.79
Linje 4129 har ugyldig email: ,,,
Linje 4137 har ugyldig email: ,,,
Linje 4141 har ugyldig email: ,,,
Linje 4148 har ugyldig email: 4147,Tanya Cook,,806.68
Linje 4155 har ugyldig email: ,,,
Linje 4166 har ugyldig email: 4165,Derrick Wilson,,267.1
Linje 4174 har ugyldig email: ,,,
Linje 4178 har ugyldig email: 4177,Michael Cohen,,132.4
Linje 4193 har ugyldig email: ,,,
Linje 4206 har ugyldig email: ,,,
Linje 4211 har ugyldig email: 4210,Douglas Pacheco,,179.2
Linje 4232 har ugyldig email: ,,,
Linje 4233 har ugyldig email: ,,,
Linje 4250 har ugyldig email: 4249,Maria Williams,,364.98
Linje 4254 har ugyldig email: 4253,Kayla Dunlap,kayla.dunlaphotmail.com,822.21
Linje 4263 har ugyldig email: ,,,
Linje 4266 har ugyldig email: 4265,John Fernandez,,35.06
Linje 4267 har ugyldig email: ,,,
Linje 4300 har ugyldig email: 4299,Stacey Douglas,stacey.douglasyahoo.com,79.51
Linje 4314 har ugyldig email: ,,,
Linje 4330 har ugyldig email: ,,,
Linje 4333 har ugyldig email: 4332,  James Ford   ,,755.82
Linje 4339 har ugyldig email: 4338,Robyn Moore,,344.74
Linje 4349 har ugyldig email: ,,,
Linje 4350 har ugyldig email: ,,,
Linje 4355 har ugyldig email: ,,,
Linje 4360 har ugyldig email: ,,,
Linje 4372 har ugyldig email: ,,,
Linje 4379 har ugyldig email: 4378,Shawn Hansen II,shawn.hansenyahoo.com,770.1
Linje 4395 har ugyldig email: 4394,Joseph Jacobson,,854.7
Linje 4427 har ugyldig email: 4426,Kerry Bradley,,411.5
Linje 4443 har ugyldig email: ,,,
Linje 4471 har ugyldig email: 4470,Victor Malone,,966.83
Linje 4474 har ugyldig email: ,,,
Linje 4485 har ugyldig email: ,,,
Linje 4495 har ugyldig email: 3992,,James Horton,,915.22
Linje 4497 har ugyldig email: 4496,Dr. Madison Norris,dr..madisonhotmail.com,332.04
Linje 4499 har ugyldig email: 4498,Tim Jackson,,613.93
Linje 4542 har ugyldig email: ,,,
Linje 4560 har ugyldig email: ,,,
Linje 4566 har ugyldig email: ,,,
Linje 4576 har ugyldig email: 4575,Cynthia Miles,,688.23
Linje 4594 har ugyldig email: ,,,
Linje 4596 har ugyldig email: ,,,
Linje 4604 har ugyldig email: 4603,Mark Mcbride,,135.12
Linje 4612 har ugyldig email: 4611,Cody Collins,,568.6
Linje 4614 har ugyldig email: 4613,Anthony Bray,,466.41
Linje 4622 har ugyldig email: 4621,Diana Mccoy,diana.mccoygmail.com,324.56
Linje 4636 har ugyldig email: ,,,
Linje 4642 har ugyldig email: 4641,Jordan Alexander,,208.65
Linje 4643 har ugyldig email: 4642,Matthew Castillo,,578.12
Linje 4646 har ugyldig email: ,,,
Linje 4656 har ugyldig email: 4655,Joseph Johnson,,406.37
Linje 4657 har ugyldig email: 4656,Kara Powell,,11.14
Linje 4676 har ugyldig email: 4675,Becky Perez,becky.perezhotmail.com,493.2
Linje 4681 har ugyldig email: ,,,
Linje 4687 har ugyldig email: 4686,Jacob Peterson,,92.43
Linje 4701 har ugyldig email: ,,,
Linje 4713 har ugyldig email: ,,,
Linje 4717 har ugyldig email: ,,,
Linje 4732 har ugyldig email: 4731,Gabrielle Howard,,147.71
Linje 4753 har ugyldig email: ,,,
Linje 4770 har ugyldig email: 4769,Jeffrey Johnson,,336.47
Linje 4779 har ugyldig email: ,,,
Linje 4787 har ugyldig email: 4786,Katherine Moore,,580.04
Linje 4796 har ugyldig email: ,,,
Linje 4799 har ugyldig email: ,,,
Linje 4806 har ugyldig email: ,,,
Linje 4816 har ugyldig email: ,,,
Linje 4820 har ugyldig email: ,,,
Linje 4828 har ugyldig email: -799,Alicia Reed,,716.12
Linje 4829 har ugyldig email: ,,,
Linje 4837 har ugyldig email: ,,,
Linje 4850 har ugyldig email: ,,,
Linje 4868 har ugyldig email: ,,,
Linje 4876 har ugyldig email: ,,,
Linje 4881 har ugyldig email: ,,,
Linje 4915 har ugyldig email: ,,,
Linje 4933 har ugyldig email: ,,,
Linje 4938 har ugyldig email: 4937,Joanne Baker,,302.44
Linje 4939 har ugyldig email: ,,,
Linje 4944 har ugyldig email: ,,,
Linje 4951 har ugyldig email: ,,,
Linje 4959 har ugyldig email: 4958,Brian Ingram,,646.5
Linje 4961 har ugyldig email: 4960,Bernard Long,,700.89
Linje 4983 har ugyldig email: ,,,
Linje 4989 har ugyldig email: ,,,
Linje 4998 har ugyldig email: ,,,
Linje 5006 har ugyldig email: ,,,
Linje 5015 har ugyldig email: 5014,Natasha Vincent,natasha.vincenthotmail.com,942.88
Linje 5021 har ugyldig email: ,,,
Linje 5036 har ugyldig email: ,,,,
Linje 5053 har ugyldig email: 5052,Kimberly Solis,kimberly.solishotmail.com,233.23
Linje 5084 har ugyldig email: ,,,
Linje 5091 har ugyldig email: ,,,
Linje 5094 har ugyldig email: ,,,
Linje 5127 har ugyldig email: 5126,Russell Wong,,355.58
Linje 5135 har ugyldig email: ,,,
Linje 5137 har ugyldig email: ,,,
Linje 5153 har ugyldig email: ,,,
Linje 5169 har ugyldig email: 5168,Jacob Becker,,593.42
Linje 5174 har ugyldig email: ,,,
Linje 5185 har ugyldig email: ,,,
Linje 5206 har ugyldig email: 5205,Steven Pennington,,254.85
Linje 5244 har ugyldig email: ,,,
Linje 5246 har ugyldig email: 5245,Megan Ramirez,,812.46
Linje 5249 har ugyldig email: 5248,Melissa Jones,,151.48
Linje 5266 har ugyldig email: 5265,Peter Wheeler,,825.8
Linje 5271 har ugyldig email: 5270,Trevor Weeks,,714.96
Linje 5272 har ugyldig email: 5271,Scott Yang,,466.6
Linje 5282 har ugyldig email: 5281,Emily Wilson MD,emily.wilsonyahoo.com,746.13
Linje 5289 har ugyldig email: ,,,,
Linje 5295 har ugyldig email: ,,,
Linje 5364 har ugyldig email: 5363,Henry Warner,,403.78
Linje 5367 har ugyldig email: 5366,Cassandra Santana,,452.14
Linje 5371 har ugyldig email: ,,,
Linje 5376 har ugyldig email: 5375,Lori Carson,,367.3
Linje 5378 har ugyldig email: 5377,Jeffrey Gibbs,,149.34
Linje 5436 har ugyldig email: 5435,David Mcintyre,,630.07
Linje 5446 har ugyldig email: ,,,
Linje 5467 har ugyldig email: 5466,Cole Murray,,526.11
Linje 5480 har ugyldig email: 5479,Laura Webb,,714.58
Linje 5484 har ugyldig email: ,,,
Linje 5489 har ugyldig email: ,,,
Linje 5502 har ugyldig email: 5501,Paul Baxter,,503.74
Linje 5504 har ugyldig email: ,,,
Linje 5509 har ugyldig email: 5508,Luis Higgins,luis.higginsyahoo.com,633.31
Linje 5514 har ugyldig email: 5513,Jennifer Smith,jennifer.smithgmail.com,732.28
Linje 5521 har ugyldig email: 5520,Adam Cunningham,,77.53
Linje 5534 har ugyldig email: 5533,John Lee,,475.44
